순위,분,신,종목코드,종목명,현재가,전일대비,,등락률,매도잔량,매수잔량,거래량,체결강도,횟수,L일봉H
1,,,'038110,에코플라스틱,"5,440",↑,"1,255",29.99,,"1,491,096","70,057,922",105.87,1,4150 5440 4105 5440
3,증,,'024910,경창산업,"3,860",↑,890,29.97,,"429,012","15,422,096",107.03,1,3040 3860 3040 3860
4,신,,'155660,DSR,"10,250",↑,"2,350",29.75,,"472,448","12,120,100",100.86,2,9000 10250 8990 10250
5,관,,'168330,내츄럴엔도텍,"11,050",↑,"2,530",29.69,,"380,246","13,151,719",77.6,3,10300 11050 9950 11050
6,신,,'138490,코오롱플라스틱,"12,500",▲,"2,350",23.15,"211,621","109,788","24,655,522",121.02,1,10150 13050 10100 12500
7,신,,'069730,DSR제강,"10,150",▲,"1,870",22.58,"262,854","134,102","17,492,588",99.1,14,8720 10500 8590 10150
8,신,,'220260,켐트로스,"13,250",▲,"2,350",21.56,"250,525","248,242","28,806,273",105.39,3,11000 13650 10750 13250
9,,,'023150,MH에탄올,"15,400",▲,"2,650",20.78,"48,496","19,457","8,115,362",92.15,2,14550 16300 13750 15400
10,신,,'128660,피제이메탈,"6,240",▲,"1,060",20.46,"82,881","94,554","22,971,327",93.85,2,5180 6450 5100 6240
11,신,,'28513K,SK케미칼우,"162,500",▲,"27,000",19.93,"6,215","3,506","339,383",109.09,1,134500 168000 133000 162500
12,신,,'036640,HRS,"8,150",▲,"1,180",16.93,"89,557","2,273","10,123,767",89.62,7,7020 8700 6990 8150
13,신,,'347890,엠투아이,"12,550",▲,"1,800",16.74,"136,483","22,841","8,444,120",96.35,1,10600 13450 10500 12550
14,신,,'002710,TCC스틸,"10,400",▲,"1,440",16.07,"184,587","159,456","8,761,467",101.64,4,8960 10650 8860 10400
15,신,,'003070,코오롱글로벌,"28,350",▲,"3,500",14.08,"20,494","5,913","2,026,238",107.52,3,25500 29350 25000 28350
16,신,,'137400,피엔티,"31,500",▲,"3,800",13.72,"40,934","36,400","6,196,545",110.62,4,28250 32450 28250 31500
17,신,,'004490,세방전지,"97,700",▲,"11,300",13.08,"3,816","4,204","731,119",133.6,1,86400 99400 86300 97700
