순위,분,신,종목코드,종목명,현재가,전일대비,,등락률,매도잔량,매수잔량,거래량,체결강도,횟수,L일봉H
1,신,,014190,원익큐브,"4,595",↑,"1,060",29.99,,"946,922","39,928,133",96.74,1,3650 4595 3640 4595
2,경,,112040,위메이드,"74,400",▲,"15,400",26.1,"9,057","4,634","3,114,453",118.4,2,58100 76400 56200 74400
3,신,,076080,웰크론한텍,"5,370",▲,"1,055",24.45,"202,038","208,765","41,233,994",69.96,1,4265 5600 4260 5370
4,증,,115450,지트리비앤티,"16,700",▲,"2,900",21.01,"72,380","40,480","10,310,041",99.02,3,16250 17800 15400 16700
5,,,104620,노랑풍선,"15,950",▲,"2,550",19.03,"117,860","45,405","9,047,192",100.26,1,13800 16600 13600 15950
6,신,,138610,나이벡,"37,000",▲,"5,250",16.54,"1,578","18,997","2,007,866",123.24,1,32200 40000 32200 37000
7,증,,136510,쎄미시스코,"30,200",▲,"4,050",15.49,"16,798","4,243","1,632,172",105.61,4,26500 31000 26250 30200
8,신,,265560,영화테크,"21,950",▲,"2,800",14.62,"131,899","52,889","12,189,571",101.79,1,19550 22300 19500 21950
9,신,,282880,코윈테크,"26,800",▲,"3,400",14.53,"22,181","20,848","4,207,031",97.75,1,23900 28550 23900 26800
10,신,,089980,상아프론테크,"76,600",▲,"8,600",12.65,"14,916","18,751","2,398,894",129.35,2,68400 78000 68300 76600
11,신,,317330,덕산테코피아,"31,950",▲,"3,500",12.3,"56,329","13,904","2,422,862",115.88,1,28850 32450 28850 31950
12,증,,203400,에이비온,"21,450",▲,"2,250",11.72,"31,069","14,662","6,939,735",65.98,4,21650 24950 19500 21450
13,신,,053350,이니텍,"8,000",▲,830,11.58,"15,609","15,967","6,928,050",85.54,1,7170 8580 7160 8000
14,증,,004870,티웨이홀딩스,"1,385",▲,140,11.24,"218,772","50,691","5,136,372",93.56,1,1250 1480 1240 1385
15,,,014200,광림,"3,490",▲,345,10.97,"44,530","13,727","5,611,156",92.52,1,3145 3740 3130 3490
16,증,,092200,디아이씨,"5,680",▲,490,9.44,"52,583","21,152","1,224,600",169.04,1,5230 5750 5230 5680
17,신,,122350,삼기,"6,460",▲,550,9.31,"122,651","133,053","48,012,254",94.87,1,6350 7030 6340 6460
18,증,,054620,APS홀딩스,"18,650",▲,"1,500",8.75,"10,098","14,720","1,059,719",76.97,1,17450 22100 17050 18650
19,신,,011700,한신기계,"4,020",▲,310,8.36,"284,858","140,122","17,480,907",90.19,1,3690 4045 3645 4020
20,신,,247540,에코프로비엠,"436,800",▲,"33,600",8.33,"8,594","1,796","1,352,588",115.61,6,408100 442000 405300 436800
21,증,,395400,SK리츠,"5,780",▲,440,8.24,"63,232","431,333","82,005,002",92.68,1,5340 6380 5320 5780
22,경,,064550,바이오니아,"84,600",▲,"6,400",8.18,"27,398","8,687","1,524,067",87.08,3,80300 87700 79600 84600
23,증,,024910,경창산업,"3,830",▲,280,7.89,"27,999","38,160","6,960,028",100.99,1,3560 4165 3535 3830
24,신,,323410,카카오뱅크,"69,700",▲,"5,100",7.89,"123,275","115,069","10,421,448",113.77,1,63600 72300 63300 69700
25,증,,217730,강스템바이오텍,"4,670",▲,335,7.73,"43,964","22,873","6,716,283",40.37,2,4470 5630 4385 4670
26,신,,005320,국동,"2,660",▲,190,7.69,"88,863","33,292","3,751,726",93.89,1,2470 2745 2450 2660
27,신,,054210,이랜텍,"8,740",▲,620,7.64,"44,799","18,629","2,880,796",135.11,1,8080 8850 8080 8740
28,,,291230,엔피,"6,530",▲,420,6.87,"11,386","11,350","1,123,370",79.85,1,6290 7060 6180 6530
29,신,,019660,글로본,"4,190",▲,265,6.75,"31,400","28,768","1,045,974",193.58,1,3990 4360 3885 4190
30,신,,024890,대원화성,"3,615",▲,225,6.64,"73,502","42,649","12,148,878",88.8,1,3390 3725 3390 3615
